Designator,Mid X,Mid Y,Rotation,Layer
C1,91.17,-121.83,90.0,top
C2,96.53,-125.27,270.0,top
D1,96.34,-103.14,90.0,top
F1,116.08,-121.765,270.0,top
F2,138.58,-121.765,270.0,top
F3,161.08,-121.765,270.0,top
F4,183.58,-121.765,270.0,top
F5,116.14,-104.715,90.0,top
F6,138.58,-104.715,90.0,top
F7,161.08,-104.715,90.0,top
F8,183.58,-104.715,90.0,top
P1,104.73,-123.451529,0.0,top
P10,196.165626,-113.8,90.0,top
P2,127.23,-123.451529,0.0,top
P3,149.73,-123.451529,0.0,top
P4,172.23,-123.451529,0.0,top
P5,105.83,-103.028471,180.0,top
P6,128.33,-103.028471,180.0,top
P7,150.83,-103.028471,180.0,top
P8,173.33,-103.028471,180.0,top
P9,87.755308,-112.7,270.0,top
R1,97.32,-107.11,90.0,top
U1,94.31,-121.88,180.0,top
